Dimension,Num Points,Num Classes,Data file,Serial All Time (ms),Serial Initialize Time (ms),Serial Classify Time (ms),Serial Update Time (ms),Serial Last Classify Time (ms),MPI All Time (ms),MPI Initialize Time (ms),MPI Classify Time (ms),MPI Update Time (ms),MPI Last Classify Time (ms),CUDA All Time (ms),CUDA Initialize Time (ms),CUDA Classify Time (ms),CUDA Update Time (ms),CUDA Last Classify Time (ms),Serial output file,MPI output file,CUDA output file
3,10000,10,data/10000_3D.csv,54.3487,12.5032,37.6519,2.2990,1.8847,33.8445,12.5961,18.9176,1.3907,0.8810,496.1856,12.4019,36.2281,2.3745,1.7449,results/10000_3D_10C_serial.csv,results/10000_3D_10C_mpi.csv,results/10000_3D_10C_cuda.csv
3,10000,10,data/10000_3D.csv,116.5775,12.2238,96.5366,5.8679,1.9124,65.4786,12.7676,48.9528,2.8152,0.8769,506.3757,12.6023,92.7447,6.2236,1.7111,results/10000_3D_10C_serial.csv,results/10000_3D_10C_mpi.csv,results/10000_3D_10C_cuda.csv
10,10000,10,data/10000_10D.csv,222.1485,21.0398,181.7487,15.3283,4.0063,122.8216,21.4374,92.4111,6.8524,1.8611,466.3591,20.8910,88.3293,15.0164,1.9118,results/10000_10D_10C_serial.csv,results/10000_10D_10C_mpi.csv,results/10000_10D_10C_cuda.csv
10,10000,10,data/10000_10D.csv,469.5478,20.4906,410.4300,34.5241,4.0444,240.1195,20.7658,201.4205,15.8224,1.8253,608.6607,20.9425,198.4153,34.3030,1.9323,results/10000_10D_10C_serial.csv,results/10000_10D_10C_mpi.csv,results/10000_10D_10C_cuda.csv
10,10000,10,data/10000_10D.csv,312.4099,20.8051,265.4039,22.2422,3.9213,175.8103,21.1680,141.4218,11.1384,1.8218,487.0823,20.9028,130.5536,22.1319,1.8995,results/10000_10D_10C_serial.csv,results/10000_10D_10C_mpi.csv,results/10000_10D_10C_cuda.csv
3,10000,100,data/10000_3D.csv,2061.6152,883.7663,1154.0665,8.6182,15.1090,1640.8350,1042.8145,585.4260,4.7438,7.7226,1459.6583,889.3182,194.0831,9.3328,2.6122,results/10000_3D_100C_serial.csv,results/10000_3D_100C_mpi.csv,results/10000_3D_100C_cuda.csv
3,10000,100,data/10000_3D.csv,1622.8997,881.1981,721.4379,5.2863,14.9421,1578.0742,1104.5437,462.0383,3.8228,7.5581,1357.2880,883.4233,121.3030,5.5235,2.4207,results/10000_3D_100C_serial.csv,results/10000_3D_100C_mpi.csv,results/10000_3D_100C_cuda.csv
3,10000,100,data/10000_3D.csv,1926.6025,887.9046,1015.9564,7.6443,15.0387,1652.2074,884.7056,749.1849,5.5852,12.5778,1434.2891,883.6155,206.5858,8.0573,2.7730,results/10000_3D_100C_serial.csv,results/10000_3D_100C_mpi.csv,results/10000_3D_100C_cuda.csv
10,10000,100,data/10000_10D.csv,5143.5039,1804.1025,3272.6118,31.9539,34.7322,3722.5826,1944.1133,1741.9661,18.7266,17.2629,2353.8933,1824.2709,177.7695,16.9344,3.3352,results/10000_10D_100C_serial.csv,results/10000_10D_100C_mpi.csv,results/10000_10D_100C_cuda.csv
10,10000,100,data/10000_10D.csv,3438.7898,1832.6747,1556.2134,15.3122,34.5433,3115.2325,1988.3335,1087.8247,10.1674,28.4791,2532.5251,1831.3906,287.3416,28.7183,3.4038,results/10000_10D_100C_serial.csv,results/10000_10D_100C_mpi.csv,results/10000_10D_100C_cuda.csv
10,10000,100,data/10000_10D.csv,3282.9336,1815.4598,1419.1252,13.6801,34.6244,2763.7503,2021.0493,718.4823,6.4704,17.3862,2370.6501,1831.7944,153.1198,15.4214,3.2317,results/10000_10D_100C_serial.csv,results/10000_10D_100C_mpi.csv,results/10000_10D_100C_cuda.csv
3,100489,2,data/100489_3D.csv,203.6415,7.1132,154.1368,37.8822,4.4901,105.3457,7.2696,78.7811,16.9880,1.8013,1851.9530,7.1527,1415.2120,38.5347,41.1515,results/100489_3D_2C_serial.csv,results/100489_3D_2C_mpi.csv,results/100489_3D_2C_cuda.csv
3,100489,2,data/100489_3D.csv,134.7337,7.0609,98.8875,24.2824,4.4902,71.8307,7.5147,51.1322,10.8464,1.7576,1385.7119,7.1366,967.0626,24.8455,40.5279,results/100489_3D_2C_serial.csv,results/100489_3D_2C_mpi.csv,results/100489_3D_2C_cuda.csv
3,100489,2,data/100489_3D.csv,96.6555,7.2536,68.2193,16.6011,4.5720,49.0863,7.2486,32.3632,7.1173,1.7967,1052.6288,7.1315,634.4212,17.2307,42.8411,results/100489_3D_2C_serial.csv,results/100489_3D_2C_mpi.csv,results/100489_3D_2C_cuda.csv
10,100489,2,data/100489_10D.csv,289.3034,9.0575,203.3318,66.7854,10.1151,146.9941,9.2273,103.6124,28.8062,3.6638,1325.8019,9.0694,863.8065,66.0001,44.2071,results/100489_10D_2C_serial.csv,results/100489_10D_2C_mpi.csv,results/100489_10D_2C_cuda.csv
10,100489,2,data/100489_10D.csv,485.3856,8.8114,350.2437,116.2484,10.0586,331.9104,13.4373,242.8994,69.9820,3.5663,2072.3008,9.0954,1559.7815,114.5512,42.7294,results/100489_10D_2C_serial.csv,results/100489_10D_2C_mpi.csv,results/100489_10D_2C_cuda.csv
10,100489,2,data/100489_10D.csv,478.5365,9.0327,345.5492,113.8121,10.1158,237.9501,9.1586,175.2753,48.1560,3.6094,2070.3159,9.1308,1456.9656,111.2894,42.8308,results/100489_10D_2C_serial.csv,results/100489_10D_2C_mpi.csv,results/100489_10D_2C_cuda.csv
3,100489,5,data/100489_3D.csv,243.9850,37.6539,175.8562,21.2433,9.2186,143.3811,38.6398,89.7486,10.4952,4.0631,1243.6956,38.1873,802.3890,21.6560,43.7494,results/100489_3D_5C_serial.csv,results/100489_3D_5C_mpi.csv,results/100489_3D_5C_cuda.csv
3,100489,5,data/100489_3D.csv,241.2644,37.8899,173.2519,20.9661,9.1432,141.5370,38.5616,89.0422,9.4929,3.9663,1320.3135,38.0344,808.5740,36.2966,45.7646,results/100489_3D_5C_serial.csv,results/100489_3D_5C_mpi.csv,results/100489_3D_5C_cuda.csv
3,100489,5,data/100489_3D.csv,553.6102,45.0130,435.8606,57.8727,14.7706,384.0396,52.3310,284.3008,40.2312,6.4454,2121.3301,43.1445,1581.1934,58.4485,45.7585,results/100489_3D_5C_serial.csv,results/100489_3D_5C_mpi.csv,results/100489_3D_5C_cuda.csv
10,100489,5,data/100489_10D.csv,2556.8621,56.6085,2132.9048,346.3126,20.9569,1534.7049,57.4014,1284.7220,175.9951,14.9200,5153.5933,56.8755,4358.2607,333.9799,42.2349,results/100489_10D_5C_serial.csv,results/100489_10D_5C_mpi.csv,results/100489_10D_5C_cuda.csv
10,100489,5,data/100489_10D.csv,1578.7416,58.0744,1291.0577,207.3843,22.1722,901.8776,59.1216,720.8394,105.4127,14.8087,3368.2051,56.4266,2712.0425,202.3568,43.8385,results/100489_10D_5C_serial.csv,results/100489_10D_5C_mpi.csv,results/100489_10D_5C_cuda.csv
10,100489,5,data/100489_10D.csv,1270.2719,56.2951,1028.7473,164.1923,21.0014,660.0823,57.4169,521.9128,69.9434,9.0578,2753.4231,55.5384,2147.8267,161.5513,40.8678,results/100489_10D_5C_serial.csv,results/100489_10D_5C_mpi.csv,results/100489_10D_5C_cuda.csv
3,100489,10,data/100489_3D.csv,818.6711,124.0655,636.9588,39.7702,17.8512,479.7964,125.6244,326.5977,18.6455,8.4798,2061.0332,124.0170,1543.9309,41.2083,38.2505,results/100489_3D_10C_serial.csv,results/100489_3D_10C_mpi.csv,results/100489_3D_10C_cuda.csv
3,100489,10,data/100489_3D.csv,988.2446,124.8194,795.8679,49.9193,17.6054,709.6956,126.7052,514.9209,55.0270,12.5790,2569.8044,123.8484,1971.3661,51.5377,42.1079,results/100489_3D_10C_serial.csv,results/100489_3D_10C_mpi.csv,results/100489_3D_10C_cuda.csv
3,100489,10,data/100489_3D.csv,513.7806,121.4314,352.6630,22.1147,17.5576,322.0580,123.5492,179.2781,10.3781,8.3838,1385.8123,122.3375,868.1555,22.6980,43.5487,results/100489_3D_10C_serial.csv,results/100489_3D_10C_mpi.csv,results/100489_3D_10C_cuda.csv
10,100489,10,data/100489_10D.csv,5090.3623,205.7569,4461.7778,382.9099,39.8114,3220.0921,288.0724,2693.8774,208.8504,27.4818,6097.0728,209.2376,5087.0723,375.2062,43.9593,results/100489_10D_10C_serial.csv,results/100489_10D_10C_mpi.csv,results/100489_10D_10C_cuda.csv
